city,state,country,id,latitude,longitude
Tirana,,Albania,1,41.32743835,19.81641304
Brasilia,,Brazil,21,-15.76251146,-47.87189083
Toronto,,Canada,25,43.6882155,-79.37672507
Bangui,,Central African Republic,35,4.396019499,18.56483716
Brazzaville,,Congo,42,-4.264510582,15.24659404
Santo Domingo,,Dominican Republic,49,18.48833656,-69.92877927
Addis Ababa,,Ethiopia,53,8.984854059,38.75890957
Frankfurt,,Germany,60,50.13400282,8.759907801
Bissau,,Guinea-Bissau,67,11.72427805,-15.53371446
Port au Prince,,Haiti,69,18.59720827,-72.30232159
Tegucigalpa,,Honduras,70,14.0632582,-87.17029933
Bombay (Mumbai),,India,77,19.08479322,72.88461065
Chennai (Madras),,India,76,13.17731936,80.26417782
Tel Aviv,,Israel,80,32.12321037,34.68308394
Bishkek,,Kyrgyzstan,91,42.93223694,74.57643716
Mexico City,,Mexico,102,19.47045427,-99.00581908
Ulan-bator,,Mongolia,103,47.94602571,106.9127243
Windhoek,,Namibia,107,-22.56120464,17.06531378
Moscow,,Russia,125,55.86682765,37.61092538
Dhahran,,Saudi Arabia,128,26.23685269,50.0416121
Capetown,,South Africa,134,-33.89544564,18.49606763
Colombo,,Sri Lanka,139,6.927631275,79.85929483
Dusanbe,,Tajikistan,147,38.56153988,68.78545445
Amsterdam,,The Netherlands,150,52.38672634,4.915626291
Ashabad,,Turkmenistan,155,38.00169401,58.23474255
Jacksonville,Florida,US,240,30.33108912,-81.6277254
Roanoke,Virginia,US,242,37.43579186,-79.90983567
Chicago,Illinois,US,244,42.10020251,-87.64492255
Honolulu,Hawaii,US,246,21.31904903,-157.8657748
San Diego,California,US,248,32.72378179,-117.1653143
Detroit,Michigan,US,250,42.32877113,-83.04839994
Lubbock,Texas,US,252,33.60786457,-101.8560473
Hartford Springfield,Connecticut,US,254,42.25885357,-72.61593394
Cincinnati,Ohio,US,256,39.09294286,-84.50175372
Macon,Georgia,US,258,32.84173281,-83.62971996
Fargo,North Dakota,US,260,46.87364607,-96.73052255
Denver,Colorado,US,262,39.77376351,-104.9956492
Nashville,Tennessee,US,264,36.19538003,-86.7833038
Washington,District of Columbia,US,266,38.87472684,-77.02237593
Spokane,Washington,US,268,47.65940882,-117.4303476
Yuma,Arizona,US,270,32.69346047,-114.6233941
Raleigh Durham,North Carolina,US,272,35.91796627,-78.86524586
Asheville,North Carolina,US,274,35.5963829,-82.54625225
Columbus,Ohio,US,276,40.00723728,-83.02668044
Pittsburgh,Pennsylvania,US,278,40.44121338,-80.00042014
Amarillo,Texas,US,280,35.22264304,-101.8276072
Atlanta,Georgia,US,282,33.75159902,-84.38912888
Reno,Nevada,US,284,39.54705612,-119.8068123
