region,country,state,city,month,day,year,avgtemperature
Africa,Algeria,NULL,Algiers,1,1,1995,64.2
Africa,Algeria,NULL,Algiers,2,1,1995,50.4
Africa,Algeria,NULL,Algiers,3,1,1995,52.2
Africa,Algeria,NULL,Algiers,4,1,1995,47.4
Africa,Algeria,NULL,Algiers,5,1,1995,60.4
Africa,Algeria,NULL,Algiers,6,1,1995,64.6
Africa,Algeria,NULL,Algiers,7,1,1995,78.6
Africa,Algeria,NULL,Algiers,8,1,1995,80.1
Africa,Algeria,NULL,Algiers,9,1,1995,76.3
Africa,Algeria,NULL,Algiers,10,1,1995,69
Africa,Algeria,NULL,Algiers,11,1,1995,67.9
Africa,Algeria,NULL,Algiers,12,1,1995,57.3
Africa,Egypt,NULL,Cairo,1,1,1995,59.2
Africa,Egypt,NULL,Cairo,2,1,1995,58.1
Africa,Egypt,NULL,Cairo,3,1,1995,62.3
Africa,Egypt,NULL,Cairo,4,1,1995,65
Africa,Egypt,NULL,Cairo,5,1,1995,73.9
Africa,Egypt,NULL,Cairo,6,1,1995,77.4
Africa,Egypt,NULL,Cairo,7,1,1995,98.9
Africa,Egypt,NULL,Cairo,8,1,1995,80.4
Africa,Egypt,NULL,Cairo,9,1,1995,81.1
Africa,Egypt,NULL,Cairo,10,1,1995,76.8
Africa,Egypt,NULL,Cairo,11,1,1995,66.4
Africa,Egypt,NULL,Cairo,12,1,1995,63.7
Africa,Ethiopia,NULL,Addis Ababa,1,1,1995,61.2
Africa,Ethiopia,NULL,Addis Ababa,2,1,1995,63.7
Africa,Ethiopia,NULL,Addis Ababa,3,1,1995,63
Africa,Ethiopia,NULL,Addis Ababa,4,1,1995,65.4
Africa,Ethiopia,NULL,Addis Ababa,5,1,1995,68.3
Africa,Ethiopia,NULL,Addis Ababa,6,1,1995,64
Africa,Ethiopia,NULL,Addis Ababa,7,1,1995,59.4
Africa,Ethiopia,NULL,Addis Ababa,8,1,1995,60.4
Africa,Ethiopia,NULL,Addis Ababa,9,1,1995,59.9
Africa,Ethiopia,NULL,Addis Ababa,10,1,1995,63
Africa,Ethiopia,NULL,Addis Ababa,11,1,1995,60.6
Africa,Ethiopia,NULL,Addis Ababa,12,1,1995,61.5
Africa,Morocco,NULL,Rabat,1,1,1995,59.6
Africa,Morocco,NULL,Rabat,2,1,1995,57.4
Africa,Morocco,NULL,Rabat,3,1,1995,57.8
Africa,Morocco,NULL,Rabat,4,1,1995,68.7
Africa,Morocco,NULL,Rabat,5,1,1995,68.9
Africa,Morocco,NULL,Rabat,6,1,1995,68.9
Africa,Morocco,NULL,Rabat,7,1,1995,68.7
